County,Year,Indicator,Value,Geolocation
Baringo,2009, % Economically Inactive (aged 5 and over)male urban,7.7,"(0.512912, 35.952537)"
Baringo,2009,% Employment status unclassified (aged 5 and over)male urban,31.9,"(0.512912, 35.952537)"
Baringo,2005,Morbidity rates male,29.3,"(0.512912, 35.952537)"
Baringo,2005,Morbidity rates female,34.2,"(0.512912, 35.952537)"
Bomet,2009,Urban households access to electricty,12.3,"(-0.690131, 35.278005)"
Bomet,2009,Rural households access to electricty,2.9,"(-0.690131, 35.278005)"
Bomet,2009,Rural households access to piped water,12.7,"(-0.690131, 35.278005)"
Bomet,2009,Urban households access to piped water,21.7,"(-0.690131, 35.278005)"
Bomet,2009,"Access to main sewer, sceptic tank or cess pit rural",0.5,"(-0.690131, 35.278005)"
Bomet,2009,"Access to main sewer, sceptic tank or cess pit urban",2,"(-0.690131, 35.278005)"
Bomet,2009,%  with Pre-Primary education,14.1,"(-0.690131, 35.278005)"
Bomet,2009,%  with Primary education,72.5,"(-0.690131, 35.278005)"
Bomet,2009,%  with Secondary education,11.3,"(-0.690131, 35.278005)"
Bomet,2009,"%  with Tertiary education, university or youth polytechnic",2.1,"(-0.690131, 35.278005)"
Bomet,2005,Incidence of Flu,28.3,"(-0.690131, 35.278005)"
Bomet,2005,Incidence of Fever/Malaria,39.5,"(-0.690131, 35.278005)"
Bomet,2005,Kenya average flu incidence,15,"(-0.690131, 35.278005)"
Bomet,2005,kenya average Fever/Malaria incidence,41.4,"(-0.690131, 35.278005)"
Bomet,2009,% Employed (age 5 and over) female rural,83.7,"(-0.690131, 35.278005)"
Bomet,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,44.9,"(-0.690131, 35.278005)"
Bomet,2009,% Economically Inactive (aged 5 and over)female rural,1.3,"(-0.690131, 35.278005)"
Bomet,2009,% Employment status unclassified (aged 5 and over)female rural,33.8,"(-0.690131, 35.278005)"
Bomet,2009,% Employed (age 5 and over) male rural,82.6,"(-0.690131, 35.278005)"
Bomet,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,44.3,"(-0.690131, 35.278005)"
Bomet,2009,% Economically Inactive (aged 5 and over) male rural,1.6,"(-0.690131, 35.278005)"
Bomet,2009,% Employment status unclassified (aged 5 and over)male rural,33,"(-0.690131, 35.278005)"
Bomet,2009,% Employed (age 5 and over) female urban,84.2,"(-0.690131, 35.278005)"
Bomet,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,46,"(-0.690131, 35.278005)"
Bomet,2009, % Economically Inactive (aged 5 and over)female urban,1.9,"(-0.690131, 35.278005)"
Bomet,2009,% Employment status unclassified (aged 5 and over) female urban,32.8,"(-0.690131, 35.278005)"
Bomet,2009,% Employed (age 5 and over) male urban,82.8,"(-0.690131, 35.278005)"
Bomet,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,47,"(-0.690131, 35.278005)"
Bomet,2009, % Economically Inactive (aged 5 and over)male urban,2.5,"(-0.690131, 35.278005)"
Bomet,2009,% Employment status unclassified (aged 5 and over)male urban,29.8,"(-0.690131, 35.278005)"
Bomet,2005,Morbidity rates male,13.5,"(-0.690131, 35.278005)"
Bomet,2005,Morbidity rates female,20.2,"(-0.690131, 35.278005)"
Bungoma,2009,Urban households access to electricty,14.1,"(0.737046, 34.672536)"
Bungoma,2009,Rural households access to electricty,1.5,"(0.737046, 34.672536)"
Bungoma,2009,Rural households access to piped water,7.2,"(0.737046, 34.672536)"
Bungoma,2009,Urban households access to piped water,20.2,"(0.737046, 34.672536)"
Bungoma,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,"(0.737046, 34.672536)"
Bungoma,2009,"Urban Access to main sewer, sceptic tank or cess pit",5.8,"(0.737046, 34.672536)"
Bungoma,2009,%  with Pre-Primary education,14.5,"(0.737046, 34.672536)"
Bungoma,2009,%  with Primary education,72.8,"(0.737046, 34.672536)"
Bungoma,2009,%  with Secondary education,11,"(0.737046, 34.672536)"
Bungoma,2009,"%  with Tertiary education, university or youth polytechnic",1.7,"(0.737046, 34.672536)"
Bungoma,2005,Incidence of Flu,3,"(0.737046, 34.672536)"
Bungoma,2005,Incidence of Fever/Malaria,45.9,"(0.737046, 34.672536)"
Bungoma,2005,Kenya average flu incidence,14.9,"(0.737046, 34.672536)"
Bungoma,2005,kenya average Fever/Malaria incidence,15,"(0.737046, 34.672536)"
Bungoma,2009,% Employed (age 5 and over) female rural,82,"(0.737046, 34.672536)"
Bungoma,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,47.8,"(0.737046, 34.672536)"
Bungoma,2009,% Economically Inactive (aged 5 and over)female rural,2.2,"(0.737046, 34.672536)"
Bungoma,2009,% Employment status unclassified (aged 5 and over)female rural,28,"(0.737046, 34.672536)"
Bungoma,2009,% Employed (age 5 and over) male rural,81,"(0.737046, 34.672536)"
Bungoma,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,47.2,"(0.737046, 34.672536)"
Bungoma,2009,% Economically Inactive (aged 5 and over) male rural,2.4,"(0.737046, 34.672536)"
Bungoma,2009,% Employment status unclassified (aged 5 and over)male rural,27.2,"(0.737046, 34.672536)"
Bungoma,2009,% Employed (age 5 and over) female urban,83.1,"(0.737046, 34.672536)"
Bungoma,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,39.1,"(0.737046, 34.672536)"
Bungoma,2009, % Economically Inactive (aged 5 and over)female urban,3.9,"(0.737046, 34.672536)"
Bungoma,2009,% Employment status unclassified (aged 5 and over) female urban,36.5,"(0.737046, 34.672536)"
Bungoma,2009,% Employed (age 5 and over) male urban,81.3,"(0.737046, 34.672536)"
Bungoma,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,41.2,"(0.737046, 34.672536)"
Bungoma,2009, % Economically Inactive (aged 5 and over)male urban,3.7,"(0.737046, 34.672536)"
Bungoma,2009,% Employment status unclassified (aged 5 and over)male urban,33.2,"(0.737046, 34.672536)"
Bungoma,2005,Morbidity rates male,32,"(0.737046, 34.672536)"
Bungoma,2005,Morbidity rates female,36.1,"(0.737046, 34.672536)"
Busia,2009,Urban households access to electricty,23.5,"(0.428414, 34.210571)"
Busia,2009,Rural households access to electricty,2.1,"(0.428414, 34.210571)"
Busia,2009,Rural households access to piped water,3.6,"(0.428414, 34.210571)"
Busia,2009,Urban households access to piped water,14.7,"(0.428414, 34.210571)"
Busia,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.2,"(0.428414, 34.210571)"
Busia,2009,"Urban Access to main sewer, sceptic tank or cess pit",4.4,"(0.428414, 34.210571)"
Busia,2009,%  with Pre-Primary education,16.4,"(0.428414, 34.210571)"
Busia,2009,%  with Primary education,72.3,"(0.428414, 34.210571)"
Busia,2009,%  with Secondary education,9.8,"(0.428414, 34.210571)"
Busia,2009,"%  with Tertiary education, university or youth polytechnic",1.4,"(0.428414, 34.210571)"
Busia,2005,Incidence of Flu,15.8,"(0.428414, 34.210571)"
Busia,2005,Incidence of Fever/Malaria,42.8,"(0.428414, 34.210571)"
Busia,2005,Kenya average flu incidence,15,"(0.428414, 34.210571)"
Busia,2005,kenya average Fever/Malaria incidence,41.4,"(0.428414, 34.210571)"
Busia,2009,% Employed (age 5 and over) female rural,82.8,"(0.428414, 34.210571)"
Busia,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,48.4,"(0.428414, 34.210571)"
Busia,2009,% Economically Inactive (aged 5 and over)female rural,2.8,"(0.428414, 34.210571)"
Busia,2009,% Employment status unclassified (aged 5 and over)female rural,26.8,"(0.428414, 34.210571)"
Busia,2009,% Employed (age 5 and over) male rural,81,"(0.428414, 34.210571)"
Busia,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,46.1,"(0.428414, 34.210571)"
Busia,2009,% Economically Inactive (aged 5 and over) male rural,3.1,"(0.428414, 34.210571)"
Busia,2009,% Employment status unclassified (aged 5 and over)male rural,26.6,"(0.428414, 34.210571)"
Busia,2009,% Employed (age 5 and over) female urban,82.1,"(0.428414, 34.210571)"
Busia,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,38.3,"(0.428414, 34.210571)"
Busia,2009, % Economically Inactive (aged 5 and over)female urban,5.6,"(0.428414, 34.210571)"
Busia,2009,% Employment status unclassified (aged 5 and over) female urban,33.2,"(0.428414, 34.210571)"
Busia,2009,% Employed (age 5 and over) male urban,79.6,"(0.428414, 34.210571)"
Busia,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,42.6,"(0.428414, 34.210571)"
Busia,2009, % Economically Inactive (aged 5 and over)male urban,4.2,"(0.428414, 34.210571)"
Busia,2009,% Employment status unclassified (aged 5 and over)male urban,27.6,"(0.428414, 34.210571)"
Busia,2005,Morbidity rates male,46.1,"(0.428414, 34.210571)"
Busia,2005,Morbidity rates female,50.3,"(0.428414, 34.210571)"
Elgeyo Marakwet,2009,Urban households access to electricty,21.8,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,Rural households access to electricty,4.6,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,Rural households access to piped water,16.3,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,Urban households access to piped water,39,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.5,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,"Urban Access to main sewer, sceptic tank or cess pit",3.1,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,%  with Pre-Primary education,15.8,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,%  with Primary education,71.3,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,%  with Secondary education,10.6,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,"%  with Tertiary education, university or youth polytechnic",2.2,"(0.806011, 35.564093)"
Elgeyo Marakwet,2005,Incidence of Flu,29.4,"(0.806011, 35.564093)"
Elgeyo Marakwet,2005,Incidence of Fever/Malaria,9.4,"(0.806011, 35.564093)"
Elgeyo Marakwet,2005,Kenya average flu incidence,15,"(0.806011, 35.564093)"
Elgeyo Marakwet,2005,Kenya average Fever/Malaria incidence,41.4,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Employed (age 5 and over) female rural,83.4,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,35.8,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Economically Inactive (aged 5 and over)female rural,2.6,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Employment status unclassified (aged 5 and over)female rural,40.4,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Employed (age 5 and over) male rural,83,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,42.2,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Economically Inactive (aged 5 and over) male rural,3.9,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Employment status unclassified (aged 5 and over)male rural,32.2,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Employed (age 5 and over) female urban,84.9,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,21.9,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009, % Economically Inactive (aged 5 and over)female urban,3.8,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Employment status unclassified (aged 5 and over) female urban,57.1,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Employed (age 5 and over) male urban,83.2,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,35.8,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009, % Economically Inactive (aged 5 and over)male urban,5.1,"(0.806011, 35.564093)"
Elgeyo Marakwet,2009,% Employment status unclassified (aged 5 and over)male urban,40,"(0.806011, 35.564093)"
Elgeyo Marakwet,2005,Morbidity rates male,18.5,"(0.806011, 35.564093)"
Elgeyo Marakwet,2005,Morbidity rates female,20.6,"(0.806011, 35.564093)"
Embu,2009,Urban households access to electricty,47.4,"(-0.5982, 37.653906)"
Embu,2009,Rural households access to electricty,7.3,"(-0.5982, 37.653906)"
Embu,2009,Rural households access to piped water,29.8,"(-0.5982, 37.653906)"
Embu,2009,Urban households access to piped water,69.4,"(-0.5982, 37.653906)"
Embu,2009,"Rural Access to main sewer, sceptic tank or cess pit",1.5,"(-0.5982, 37.653906)"
Embu,2009,"Urban Access to main sewer, sceptic tank or cess pit",24.9,"(-0.5982, 37.653906)"
Embu,2009,%  with Pre-Primary education,9.9,"(-0.5982, 37.653906)"
Embu,2009,%  with Primary education,71.3,"(-0.5982, 37.653906)"
Embu,2009,%  with Secondary education,15.5,"(-0.5982, 37.653906)"
Embu,2009,"%  with Tertiary education, university or youth polytechnic",3.2,"(-0.5982, 37.653906)"
Embu,2005,Incidence of Flu,2.7,"(-0.5982, 37.653906)"
Embu,2005,Incidence of Fever/Malaria,39.8,"(-0.5982, 37.653906)"
Embu,2005,Kenya average flu incidence,15,"(-0.5982, 37.653906)"
Embu,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.5982, 37.653906)"
Embu,2009,% Employed (age 5 and over) female rural,87.1,"(-0.5982, 37.653906)"
Embu,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,52.3,"(-0.5982, 37.653906)"
Embu,2009,% Economically Inactive (aged 5 and over)female rural,3.5,"(-0.5982, 37.653906)"
Embu,2009,% Employment status unclassified (aged 5 and over)female rural,28.3,"(-0.5982, 37.653906)"
Embu,2009,% Employed (age 5 and over) male rural,86.3,"(-0.5982, 37.653906)"
Embu,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,55.7,"(-0.5982, 37.653906)"
Embu,2009,% Economically Inactive (aged 5 and over) male rural,4.1,"(-0.5982, 37.653906)"
Embu,2009,% Employment status unclassified (aged 5 and over)male rural,23.3,"(-0.5982, 37.653906)"
Embu,2009,% Employed (age 5 and over) female urban,88.1,"(-0.5982, 37.653906)"
Embu,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,50,"(-0.5982, 37.653906)"
Embu,2009, % Economically Inactive (aged 5 and over)female urban,3.6,"(-0.5982, 37.653906)"
Embu,2009,% Employment status unclassified (aged 5 and over) female urban,31.2,"(-0.5982, 37.653906)"
Embu,2009,% Employed (age 5 and over) male urban,86,"(-0.5982, 37.653906)"
Embu,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,54.2,"(-0.5982, 37.653906)"
Embu,2009, % Economically Inactive (aged 5 and over)male urban,3.2,"(-0.5982, 37.653906)"
Embu,2009,% Employment status unclassified (aged 5 and over)male urban,25.4,"(-0.5982, 37.653906)"
Embu,2005,Morbidity rates male,24.4,"(-0.5982, 37.653906)"
Embu,2005,Morbidity rates female,28.3,"(-0.5982, 37.653906)"
Garissa,2009,Urban households access to electricty,43.2,"(-0.564679, 40.408457)"
Garissa,2009,Rural households access to electricty,0.5,"(-0.564679, 40.408457)"
Garissa,2009,Rural households access to piped water,9.1,"(-0.564679, 40.408457)"
Garissa,2009,Urban households access to piped water,82.4,"(-0.564679, 40.408457)"
Garissa,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.5,"(-0.564679, 40.408457)"
Garissa,2009,"Urban Access to main sewer, sceptic tank or cess pit",6.8,"(-0.564679, 40.408457)"
Garissa,2009,%  with Pre-Primary education,5.9,"(-0.564679, 40.408457)"
Garissa,2009,%  with Primary education,65,"(-0.564679, 40.408457)"
Garissa,2009,%  with Secondary education,9.6,"(-0.564679, 40.408457)"
Garissa,2009,"%  with Tertiary education, university or youth polytechnic",1.5,"(-0.564679, 40.408457)"
Garissa,2005,Incidence of Flu,3.7,"(-0.564679, 40.408457)"
Garissa,2005,Incidence of Fever/Malaria,46.6,"(-0.564679, 40.408457)"
Garissa,2005,Kenya average flu incidence,15,"(-0.564679, 40.408457)"
Garissa,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.564679, 40.408457)"
Garissa,2009,% Employed (age 5 and over) female rural,84.6,"(-0.564679, 40.408457)"
Garissa,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,16.6,"(-0.564679, 40.408457)"
Garissa,2009,% Economically Inactive (aged 5 and over)female rural,28.7,"(-0.564679, 40.408457)"
Garissa,2009,% Employment status unclassified (aged 5 and over)female rural,28.6,"(-0.564679, 40.408457)"
Garissa,2009,% Employed (age 5 and over) male rural,85.3,"(-0.564679, 40.408457)"
Garissa,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,26.2,"(-0.564679, 40.408457)"
Garissa,2009,% Economically Inactive (aged 5 and over) male rural,33,"(-0.564679, 40.408457)"
Garissa,2009,% Employment status unclassified (aged 5 and over)male rural,15.5,"(-0.564679, 40.408457)"
Garissa,2009,% Employed (age 5 and over) female urban,85.2,"(-0.564679, 40.408457)"
Garissa,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,13.3,"(-0.564679, 40.408457)"
Garissa,2009, % Economically Inactive (aged 5 and over)female urban,18.5,"(-0.564679, 40.408457)"
Garissa,2009,% Employment status unclassified (aged 5 and over) female urban,41.8,"(-0.564679, 40.408457)"
Garissa,2009,% Employed (age 5 and over) male urban,83.9,"(-0.564679, 40.408457)"
Garissa,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,25.4,"(-0.564679, 40.408457)"
Garissa,2009, % Economically Inactive (aged 5 and over)male urban,20.4,"(-0.564679, 40.408457)"
Garissa,2009,% Employment status unclassified (aged 5 and over)male urban,27.4,"(-0.564679, 40.408457)"
Garissa,2005,Morbidity rates male,15.5,"(-0.564679, 40.408457)"
Garissa,2005,Morbidity rates female,22.4,"(-0.564679, 40.408457)"
Homabay,2009,Urban households access to electricty,13.9,
Homabay,2009,Rural households access to electricty,1.4,
Homabay,2009,Rural households access to piped water,1.3,
Homabay,2009,Urban households access to piped water,29.2,
Homabay,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,
Homabay,2009,"Urban Access to main sewer, sceptic tank or cess pit",5.8,
Homabay,2009,%  with Pre-Primary education,20.8,
Homabay,2009,%  with Primary education,65.6,
Homabay,2009,%  with Secondary education,11.8,
Homabay,2009,"%  with Tertiary education, university or youth polytechnic",1.7,
Homabay,2005,Incidence of Flu,1.7,
Homabay,2005,Incidence of Fever/Malaria,58.3,
Homabay,2005,Kenya average flu incidence,15,
Homabay,2005,Kenya average Fever/Malaria incidence,41.4,
Homabay,2009,% Employed (age 5 and over) female rural,82.3,
Homabay,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,42.7,
Homabay,2009,% Economically Inactive (aged 5 and over)female rural,4.2,
Homabay,2009,% Employment status unclassified (aged 5 and over)female rural,31.7,
Homabay,2009,% Employed (age 5 and over) male rural,80.5,
Homabay,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,40.8,
Homabay,2009,% Economically Inactive (aged 5 and over) male rural,4.1,
Homabay,2009,% Employment status unclassified (aged 5 and over)male rural,31.6,
Homabay,2009,% Employed (age 5 and over) female urban,83.1,
Homabay,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,33.3,
Homabay,2009, % Economically Inactive (aged 5 and over)female urban,7.7,
Homabay,2009,% Employment status unclassified (aged 5 and over) female urban,35.9,
Homabay,2009,% Employed (age 5 and over) male urban,81.6,
Homabay,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,36.3,
Homabay,2009, % Economically Inactive (aged 5 and over)male urban,6.2,
Homabay,2009,% Employment status unclassified (aged 5 and over)male urban,32.8,
Homabay,2005,Morbidity rates male,43.4,
Homabay,2005,Morbidity rates female,50.1,
Isiolo,2009,Urban households access to electricty,37,"(0.949302, 38.614718)"
Isiolo,2009,Rural households access to electricty,2.6,"(0.949302, 38.614718)"
Isiolo,2009,Rural households access to piped water,17.7,"(0.949302, 38.614718)"
Isiolo,2009,Urban households access to piped water,85.8,"(0.949302, 38.614718)"
Isiolo,2009,"Rural Access to main sewer, sceptic tank or cess pit",2.1,"(0.949302, 38.614718)"
Isiolo,2009,"Urban Access to main sewer, sceptic tank or cess pit",12.7,"(0.949302, 38.614718)"
Isiolo,2009,%  with Pre-Primary education,21.3,"(0.949302, 38.614718)"
Isiolo,2009,%  with Primary education,65.7,"(0.949302, 38.614718)"
Isiolo,2009,%  with Secondary education,9.7,"(0.949302, 38.614718)"
Isiolo,2009,"%  with Tertiary education, university or youth polytechnic",2,"(0.949302, 38.614718)"
Isiolo,2005,Incidence of Flu,17.5,"(0.949302, 38.614718)"
Isiolo,2005,Incidence of Fever/Malaria,33.7,"(0.949302, 38.614718)"
Isiolo,2005,Kenya average flu incidence,15,"(0.949302, 38.614718)"
Isiolo,2005,Kenya average Fever/Malaria incidence,41.4,"(0.949302, 38.614718)"
Isiolo,2009,% Employed (age 5 and over) female rural,79.7,"(0.949302, 38.614718)"
Isiolo,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,37.1,"(0.949302, 38.614718)"
Isiolo,2009,% Economically Inactive (aged 5 and over)female rural,2.8,"(0.949302, 38.614718)"
Isiolo,2009,% Employment status unclassified (aged 5 and over)female rural,35.9,"(0.949302, 38.614718)"
Isiolo,2009,% Employed (age 5 and over) male rural,80.5,"(0.949302, 38.614718)"
Isiolo,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,53,"(0.949302, 38.614718)"
Isiolo,2009,% Economically Inactive (aged 5 and over) male rural,3.7,"(0.949302, 38.614718)"
Isiolo,2009,% Employment status unclassified (aged 5 and over)male rural,19.2,"(0.949302, 38.614718)"
Isiolo,2009,% Employed (age 5 and over) female urban,87.8,"(0.949302, 38.614718)"
Isiolo,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,24.8,"(0.949302, 38.614718)"
Isiolo,2009, % Economically Inactive (aged 5 and over)female urban,9.3,"(0.949302, 38.614718)"
Isiolo,2009,% Employment status unclassified (aged 5 and over) female urban,50.4,"(0.949302, 38.614718)"
Isiolo,2009,% Employed (age 5 and over) male urban,84.1,"(0.949302, 38.614718)"
Isiolo,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,31.5,"(0.949302, 38.614718)"
Isiolo,2009, % Economically Inactive (aged 5 and over)male urban,11.9,"(0.949302, 38.614718)"
Isiolo,2009,% Employment status unclassified (aged 5 and over)male urban,37.4,"(0.949302, 38.614718)"
Isiolo,2005,Morbidity rates male,25.8,"(0.949302, 38.614718)"
Isiolo,2005,Morbidity rates female,30.1,"(0.949302, 38.614718)"
Kajiado,2009,Urban households access to electricty,66.8,"(-2.221971, 36.980268)"
Kajiado,2009,Rural households access to electricty,12.6,"(-2.221971, 36.980268)"
Kajiado,2009,Rural households access to piped water,23.7,"(-2.221971, 36.980268)"
Kajiado,2009,Urban households access to piped water,49.9,"(-2.221971, 36.980268)"
Kajiado,2009,"Rural Access to main sewer, sceptic tank or cess pit",3.2,"(-2.221971, 36.980268)"
Kajiado,2009,"Urban Access to main sewer, sceptic tank or cess pit",19.9,"(-2.221971, 36.980268)"
Kajiado,2009,%  with Pre-Primary education,19.2,"(-2.221971, 36.980268)"
Kajiado,2009,%  with Primary education,62,"(-2.221971, 36.980268)"
Kajiado,2009,%  with Secondary education,12.5,"(-2.221971, 36.980268)"
Kajiado,2009,"%  with Tertiary education, university or youth polytechnic",6,"(-2.221971, 36.980268)"
Kajiado,2005,Incidence of Flu,36.1,"(-2.221971, 36.980268)"
Kajiado,2005,Incidence of Fever/Malaria,12.3,"(-2.221971, 36.980268)"
Kajiado,2005,Kenya average flu incidence,15,"(-2.221971, 36.980268)"
Kajiado,2005,Kenya average Fever/Malaria incidence,41.4,"(-2.221971, 36.980268)"
Kajiado,2009,% Employed (age 5 and over) female rural,82.3,"(-2.221971, 36.980268)"
Kajiado,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,25.1,"(-2.221971, 36.980268)"
Kajiado,2009,% Economically Inactive (aged 5 and over)female rural,5.5,"(-2.221971, 36.980268)"
Kajiado,2009,% Employment status unclassified (aged 5 and over)female rural,48.2,"(-2.221971, 36.980268)"
Kajiado,2009,% Employed (age 5 and over) male rural,81.1,"(-2.221971, 36.980268)"
Kajiado,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,38,"(-2.221971, 36.980268)"
Kajiado,2009,% Economically Inactive (aged 5 and over) male rural,6.6,"(-2.221971, 36.980268)"
Kajiado,2009,% Employment status unclassified (aged 5 and over)male rural,32.9,"(-2.221971, 36.980268)"
Kajiado,2009,% Employed (age 5 and over) female urban,85.7,"(-2.221971, 36.980268)"
Kajiado,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,35.2,"(-2.221971, 36.980268)"
Kajiado,2009, % Economically Inactive (aged 5 and over)female urban,5.8,"(-2.221971, 36.980268)"
Kajiado,2009,% Employment status unclassified (aged 5 and over) female urban,42.4,"(-2.221971, 36.980268)"
Kajiado,2009,% Employed (age 5 and over) male urban,84.7,"(-2.221971, 36.980268)"
Kajiado,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,50.4,"(-2.221971, 36.980268)"
Kajiado,2009, % Economically Inactive (aged 5 and over)male urban,5.3,"(-2.221971, 36.980268)"
Kajiado,2009,% Employment status unclassified (aged 5 and over)male urban,27.1,"(-2.221971, 36.980268)"
Kajiado,2005,Morbidity rates male,29.1,"(-2.221971, 36.980268)"
