"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"47","AC","National","2001","AIDS cases & deaths","O","B","ALL","C0640","Distribution by sex & age is provided.","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","17","16","-1.00","N/A","","","-1"
"146","AC","National","2003","AIDS cases","O","B","UNK","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","0","0","-1.00","N/A","","","-1"
"173","AC","National","2004","AIDS cases","O","M","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","0","0","-1.00","N/A","","","-1"
"48","AC","National","2001","AIDS cases","O","M","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","12","0","-1.00","N/A","","","-1"
"1","AC","National","1987","Cumulative AIDS cases & deaths","O","B","ALL","P0028","Reported as of 30 June 87.","R","Antigua and Barbuda","Pan American Health Organization",1987,"Acquired Immunodeficiency Syndromes (AIDS) in the Americas","Bulletin of the Pan American Health Organization, vol. 21, no. 4, pp. 422-429.","AIDS","3","3","-1.00","N/A","","","-1"
"49","AC","National","2001","AIDS cases","O","F","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","5","0","-1.00","N/A","","","-1"
"22","AC","National","1995","Cumulative AIDS cases & deaths","O","B","ALL","P0163","Reported as of 10 Mar. 96.","R","Antigua and Barbuda","Pan American Health Organization",1996,"Number of Reported Cases of AIDS by Year, and Cumulative Cases and Deaths, by Country and Subregion, As of 10 March, 1996","Pan American Health Organization, pp. 1-3.","AIDS","45","20","-1.00","N/A","","","-1"
"2","AC","National","1986","AIDS cases","O","B","ALL","N0033","Calendar year data.","R","Antigua and Barbuda","Narain, J. P., B. Hull, C. J. Hospedales, et al.",1989,"Epidemiology of AIDS and HIV Infection in the Caribbean","In: AIDS Profile of an Epidemic, PAHO, Scientific Publication no. 514, pp. 61-71.","AIDS","2","0","-1.00","N/A","","","-1"
"130","AC","National","2002","AIDS cases","O","F","UNK","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","0","0","-1.00","N/A","","","-1"
"132","AC","National","2003","AIDS cases","O","M","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","5","0","-1.00","N/A","","","-1"
"1","AC","National","1987","AIDS cases","O","B","ALL","N0033","Calendar year data.","R","Antigua and Barbuda","Narain, J. P., B. Hull, C. J. Hospedales, et al.",1989,"Epidemiology of AIDS and HIV Infection in the Caribbean","In: AIDS Profile of an Epidemic, PAHO, Scientific Publication no. 514, pp. 61-71.","AIDS","1","0","-1.00","N/A","","","-1"
"131","AC","National","2003","AIDS cases & deaths","O","B","ALL","C0640","Distribution by sex & age is provided.","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","9","6","-1.00","N/A","","","-1"
"104","AC","National","2002","AIDS cases","O","B","UNK","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","0","0","-1.00","N/A","","","-1"
"10","AC","National","2000","AIDS cases","O","F","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","3","0","-1.00","N/A","","","-1"
"133","AC","National","2003","AIDS cases","O","F","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","4","0","-1.00","N/A","","","-1"
"117","AC","National","2002","AIDS cases","O","M","UNK","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","0","0","-1.00","N/A","","","-1"
"89","AC","National","2002","AIDS cases & deaths","O","B","ALL","C0640","Distribution by sex & age is provided.","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","5","6","-1.00","N/A","","","-1"
"1","AC","National","1987","Cumulative AIDS cases & deaths","O","B","ALL","P0004","Reported as of 31 Mar. 87.","R","Antigua and Barbuda","Pan American Health Organization",1987,"AIDS Cases in the Americas Notified by 18 June 1987","Report.","AIDS","2","2","-1.00","N/A","","","-1"
"8","AC","National","2000","AIDS cases & deaths","O","B","ALL","C0640","Distribution by sex & age is provided.","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","17","12","-1.00","N/A","","","-1"
"9","AC","National","2000","AIDS cases","O","M","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","14","0","-1.00","N/A","","","-1"
"1","AC","National","1989","Cumulative AIDS cases & deaths","O","B","ALL","H0057","Reported as of 31 Dec. 89.","R","Antigua and Barbuda","Hospedales, C. J.",1990,"An Update on AIDS in the Caribbean (1982-1989)","West Indian Medical Journal, vol. 39, pp. 128-129.","AIDS","3","2","-1.00","N/A","","","-1"
"90","AC","National","2002","AIDS cases","O","M","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","3","0","-1.00","N/A","","","-1"
"62","AC","National","2001","AIDS cases","O","B","UNK","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","1","0","-1.00","N/A","","","-1"
"91","AC","National","2002","AIDS cases","O","F","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","2","0","-1.00","N/A","","","-1"
"179","AC","National","2005","AIDS deaths","O","B","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","0","1","-1.00","N/A","","","-1"
"75","AC","National","2001","AIDS cases","O","M","UNK","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","1","0","-1.00","N/A","","","-1"
"174","AC","National","2004","AIDS cases","O","F","ALL","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","1","0","-1.00","N/A","","","-1"
"19","AC","National","1998","Cumulative AIDS cases","O","B","ALL","W0144","Reported as of 20 Jan. 98.","R","Antigua and Barbuda","World Health Organization",1999,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 11, no. 2, pp. 254-264.","AIDS","91","0","-1.00","N/A","","","-1"
"18","AC","National","1994","Cumulative AIDS cases","O","B","ALL","W0100","Reported as of 30 Sept. 94.","R","Antigua and Barbuda","World Health Organization",1994,"World Health Organization Global AIDS Statistics","AIDS Care, vol. 7, no. 2, pp. 245-248.","AIDS","35","0","-1.00","N/A","","","-1"
"26","AC","National","1990","Cumulative AIDS cases","O","B","ALL","W0057","Reported as of 31 Dec. 90.","R","Antigua and Barbuda","World Health Organization",1992,"World Health Organization Global AIDS Statistics","AIDS Care, vol. 4, no. 1, pp. 125-128.","AIDS","6","0","-1.00","N/A","","","-1"
"30","AC","National","1994","Cumulative AIDS cases","O","B","ALL","W0101","Reported as of 31 Dec. 94.","R","Antigua and Barbuda","World Health Organization",1995,"The Current Global Situation of the HIV/AIDS Pandemic","Global Programme on AIDS, July 3, document.","AIDS","40","0","-1.00","N/A","","","-1"
"28","AC","National","1993","Cumulative AIDS cases","O","B","ALL","W0087","Reported as of 30 Sept. 93.","R","Antigua and Barbuda","World Health Organization",1994,"The Current Global Situation of the HIV/AIDS Pandemic","Global Programme on AIDS, January 4, document.","AIDS","36","0","-1.00","N/A","","","-1"
"49","AC","National","1995","Cumulative AIDS cases","O","B","ALL","W0104","Reported as of 31 Mar. 95.","R","Antigua and Barbuda","World Health Organization",1995,"The Current Global Situation of the HIV/AIDS Pandemic","Global Programme on AIDS, December 15, document.","AIDS","41","0","-1.00","N/A","","","-1"
"21","AC","National","1997","Cumulative AIDS cases","O","B","ALL","W0137","Reported as of 30 June 97.","R","Antigua and Barbuda","World Health Organization",1998,"UNAIDS/WHO Global AIDS Statistics","AIDS CARE, vol. 10, no. 2, pp. 249-256.","AIDS","83","0","-1.00","N/A","","","-1"
"34","AC","National","1999","Cumulative AIDS cases","O","B","ALL","W0155","Reported as of 31 May 99.","R","Antigua and Barbuda","World Health Organization",2000,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 12, no. 2, pp. 239-248.","AIDS","96","0","-1.00","N/A","","","-1"
"35","AC","National","1990","Cumulative AIDS cases","O","B","ALL","W0040","Reported as of 21 Mar. 90.","R","Antigua and Barbuda","World Health Organization",1990,"Statistics from the WHO and the Centers for Disease Control","AIDS, vol. 4, no. 9, pp. 937-941.","AIDS","3","0","-1.00","N/A","","","-1"
"34","AC","National","1996","Cumulative AIDS cases","O","B","ALL","W0130","Reported as of 30 June 96.","R","Antigua and Barbuda","World Health Organization",1997,"World Health Organization Global AIDS Statistics","AIDS Care, vol. 9, no. 2, pp. 251-255.","AIDS","49","0","-1.00","N/A","","","-1"
"14","AC","National","1997","Cumulative AIDS cases","O","B","ALL","W0133","Reported as of 31 Mar. 97.","R","Antigua and Barbuda","World Health Organization",1997,"World Health Organization Global AIDS Statistics","AIDS Care, vol. 9, no. 5, pp. 625-632.","AIDS","82","0","-1.00","N/A","","","-1"
"27","AC","National","1995","Cumulative AIDS cases","O","B","ALL","W0114","Reported as of 31 Dec. 95.","R","Antigua and Barbuda","World Health Organization",1996,"World Health Organization Global AIDS Statistics","AIDS, vol. 8, no. 5, pp. 619-623.","AIDS","45","0","-1.00","N/A","","","-1"
"33","AC","National","1997","Cumulative AIDS cases","O","B","ALL","W0139","Reported as of 30 Sept. 97.","R","Antigua and Barbuda","World Health Organization",1998,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 10, no. 5, pp. 643-646.","AIDS","90","0","-1.00","N/A","","","-1"
"39","AC","National","2002","Cumulative AIDS cases","O","B","ALL","W0197","Reported as of 21 Oct. 02.","R","Antigua and Barbuda","World Health Organization",2002,"Global Situation of the AIDS Pandemic, End 2002","Weekly Epidemiological Record, December 6, vol. 77, no. 49, pp. 417-424.","AIDS","113","0","-1.00","N/A","","","-1"
"30","AC","National","1988","Cumulative AIDS cases","O","B","ALL","W0017","Reported as of 30 Sept. 88.","R","Antigua and Barbuda","World Health Organization",1989,"Acquired Immunodeficiency Syndrome (AIDS)","Weekly Epidemiology Record, March 3, vol. 64, no. 9, pp. 61-68.","AIDS","3","0","-1.00","N/A","","","-1"
"73","AE","National","1993","Cumulative AIDS cases","O","B","ALL","W0087","Reported as of 12 Feb. 93.","R","United Arab Emirates","World Health Organization",1994,"The Current Global Situation of the HIV/AIDS Pandemic","Global Programme on AIDS, January 4, document.","AIDS","8","0","-1.00","N/A","","","-1"
"145","AE","National","1991","Cumulative AIDS cases","O","B","ALL","W0155","Reported as of 28 Feb. 91.","R","United Arab Emirates","World Health Organization",2000,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 12, no. 2, pp. 239-248.","AIDS","8","0","-1.00","N/A","","","-1"
"63","AE","National","2000","Cumulative AIDS cases","O","B","ALL","W0215","Reported as of 30 June 00.","R","United Arab Emirates","World Health Organization",2004,"Epidemiological Fact Sheets on HIV/AIDS and Sexually Transmitted Infections","UNAIDS/WHO Epidemiological Fact Sheets, 2004 update, page 6, online document.","AIDS","22","0","-1.00","N/A","","","-1"
"97","AE","National","2002","Cumulative AIDS cases","O","B","ALL","W0197","Reported as of 27 Oct. 02.","R","United Arab Emirates","World Health Organization",2002,"Global Situation of the AIDS Pandemic, End 2002","Weekly Epidemiological Record, December 6, vol. 77, no. 49, pp. 417-424.","AIDS","22","0","-1.00","N/A","","","-1"
"15","AE","National","2001","Cumulative AIDS cases","O","B","ALL","S1159","Reported up to 2001.","R","United Arab Emirates","Shawky, S., C. Soliman, K. M. Kassak, et al.",2009,"HIV Surveillance and Epidemic Profile in the Middle East and North Africa","Journal of Acquired Immune Deficiency Syndromes, vol. 51, suppl. 3, pp. S83-S95.","AIDS","22","0","-1.00","N/A","","","-1"
"930","AF","National","1991","Cumulative AIDS cases","O","B","ALL","S0486","Reported as of 31 Dec. 91.  Distribution by risk group, sex, & age is given in text.","R","Afghanistan","Shrestha, P. N.",1999,"Forthcoming WER Global Update of AIDS Cases Reported to WHO","WHO/EMRO/ASD, ASD.  9/28/A5/61/2, Sept. 21, document tables.","AIDS","0","0","-1.00","N/A","","","-1"
"138","AF","National","1999","Cumulative AIDS cases","O","B","ALL","W0155","Reported as of 17 Oct. 99.","R","Afghanistan","World Health Organization",2000,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 12, no. 2, pp. 239-248.","AIDS","0","0","-1.00","N/A","","","-1"
"61","AF","National","1987","Cumulative AIDS cases","O","B","ALL","W0013","Reported as of 31 Dec. 87.","R","Afghanistan","World Health Organization",1988,"Statistics from the WHO and the Centers for Disease Control","AIDS, vol. 2, no. 6, pp. 487-490.","AIDS","0","0","-1.00","N/A","","","-1"
"17","AF","National","1988","Cumulative AIDS cases","O","B","ALL","W0017","Reported as of 31 Dec. 88.","R","Afghanistan","World Health Organization",1989,"Acquired Immunodeficiency Syndrome (AIDS)","Weekly Epidemiology Record, March 3, vol. 64, no. 9, pp. 61-68.","AIDS","0","0","-1.00","N/A","","","-1"
"6","AG","National","1988","Cumulative AIDS cases","O","B","ALL","W0017","Reported as of 26 Mar. 88.","R","Algeria","World Health Organization",1989,"Acquired Immunodeficiency Syndrome (AIDS)","Weekly Epidemiology Record, March 3, vol. 64, no. 9, pp. 61-68.","AIDS","13","0","-1.00","N/A","","","-1"
"1","AG","National","1997","Cumulative AIDS cases","O","B","ALL","W0137","Reported as of 30 Sept. 97.","R","Algeria","World Health Organization",1998,"UNAIDS/WHO Global AIDS Statistics","AIDS CARE, vol. 10, no. 2, pp. 249-256.","AIDS","326","0","-1.00","N/A","","","-1"
"1","AG","National","2001","Cumulative AIDS cases","O","B","ALL","W0197","Reported as of 26 Nov. 01.","R","Algeria","World Health Organization",2002,"Global Situation of the AIDS Pandemic, End 2002","Weekly Epidemiological Record, December 6, vol. 77, no. 49, pp. 417-424.","AIDS","501","0","-1.00","N/A","","","-1"
"1","AG","National","1999","Cumulative AIDS cases","O","B","ALL","W0155","Reported as of 15 Nov. 99.","R","Algeria","World Health Organization",2000,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 12, no. 2, pp. 239-248.","AIDS","410","0","-1.00","N/A","","","-1"
"27","AG","National","1986","AIDS cases","O","B","ALL","W0001","Calendar year data.","R","Algeria","World Health Organization",1987,"AIDS Cases Reported to WHO as of 10-June-87","Data.","AIDS","3","0","-1.00","N/A","","","-1"
"11","AG","National","1990","Cumulative AIDS cases","O","B","ALL","W0040","Reported as of 20 May 90.","R","Algeria","World Health Organization",1990,"Statistics from the WHO and the Centers for Disease Control","AIDS, vol. 4, no. 9, pp. 937-941.","AIDS","45","0","-1.00","N/A","","","-1"
"12","AG","National","1991","Cumulative AIDS cases","O","B","ALL","W0058","Reported as of 31 Aug. 91.","R","Algeria","World Health Organization",1992,"World Health Organization Global AIDS Statistics","AIDS Care, vol. 4, no. 2, pp. 231-234.","AIDS","92","0","-1.00","N/A","","","-1"
"1","AG","National","1997","Cumulative AIDS cases","O","B","ALL","W0139","Reported as of 31 Mar. 97.","R","Algeria","World Health Organization",1998,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 10, no. 5, pp. 643-646.","AIDS","341","0","-1.00","N/A","","","-1"
"1","AG","National","1994","Cumulative AIDS cases","O","B","ALL","W0101","Reported as of 31 Dec. 94.","R","Algeria","World Health Organization",1995,"The Current Global Situation of the HIV/AIDS Pandemic","Global Programme on AIDS, July 3, document.","AIDS","217","0","-1.00","N/A","","","-1"
"22","AG","National","1993","Cumulative AIDS cases","O","B","ALL","W0079","Reported as of 31 Mar. 93.","R","Algeria","World Health Organization",1993,"Statistics from the WHO and the Centers for Disease Control","AIDS, vol. 7, no. 9, pp. 1287-1291.","AIDS","138","0","-1.00","N/A","","","-1"
"16","AG","National","1987","Cumulative AIDS cases","O","B","ALL","W0002","Reported as of 1 June 87.","R","Algeria","Wellcome Foundation",1987,"AIDS and Its Management","The Wellcome Foundation Limited Berkhamsted Herts England, B.5676/09.87/5.0/R, pp. 4-5.","AIDS","5","0","-1.00","N/A","","","-1"
"1","AG","National","1998","Cumulative AIDS cases","O","B","ALL","W0144","Reported as of 15 Sept. 98.","R","Algeria","World Health Organization",1999,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 11, no. 2, pp. 254-264.","AIDS","363","0","-1.00","N/A","","","-1"
"1","AG","National","1995","Cumulative AIDS cases","O","B","ALL","W0130","Reported as of 31 Dec. 95.","R","Algeria","World Health Organization",1997,"World Health Organization Global AIDS Statistics","AIDS Care, vol. 9, no. 2, pp. 251-255.","AIDS","251","0","-1.00","N/A","","","-1"
"1","AG","National","1994","Cumulative AIDS cases","O","B","ALL","W0100","Reported as of 30 June 94.","R","Algeria","World Health Organization",1994,"World Health Organization Global AIDS Statistics","AIDS Care, vol. 7, no. 2, pp. 245-248.","AIDS","196","0","-1.00","N/A","","","-1"
"1","AG","National","1985","AIDS cases","O","B","ALL","C0232","Calendar year data.","R","Algeria","Chakkar, Y.",1995,"Situation du Programme National de Lutte Contre le SIDA","La Lettre de la Prevention, Ministere de la Sante et de la Population, Numero  83, decembre.","AIDS","1","0","-1.00","N/A","","","-1"
"140","AG","National","2005","Cumulative AIDS cases","O","F","ALL","F0183","Reported as of 31 Dec. 05.  Distribution by group is given in text.","R","Algeria","Fares, E. G., Mokhtari, M. Gourari, et al.",2005,"Rapport Sur L'Enquete Nationale de Sero-Surveillance Sentinelle du VIH et de la Syphilis en Algerie en 2004","Ministere de la Sante de la Population et de la Reforme Hospitaliere, Direction de la Prevention, Algerie, decembre, report.","AIDS","215","0","-1.00","N/A","","","-1"
"180","AG","National","1985-2006","Cumulative AIDS cases - IVDU","I","F","ALL","A0529","Reported as of 31 Dec. 06.","R","Algeria","Algeria Ministere de la Sante, et al.",2008,"Rapport Sur l'Enquete de Sero-Surveillance Sentinelle du VIH et de la Syphilis en Algerie en 2007","Ministere de la Sante de la Population et de la Reforme Hospitaliere, Direction de la Prevention, janvier, report.","AIDS","5","0","-1.00","N/A","","","-1"
"176","AG","National","1985-2006","Cumul. adult AIDS cases - heterosexual","O","F","ALL","A0529","Reported as of 31 Dec. 06.","R","Algeria","Algeria Ministere de la Sante, et al.",2008,"Rapport Sur l'Enquete de Sero-Surveillance Sentinelle du VIH et de la Syphilis en Algerie en 2007","Ministere de la Sante de la Population et de la Reforme Hospitaliere, Direction de la Prevention, janvier, report.","AIDS","139","0","-1.00","N/A","","","-1"
"5","AG","National","1989","AIDS cases","O","B","ALL","C0232","Calendar year data.","R","Algeria","Chakkar, Y.",1995,"Situation du Programme National de Lutte Contre le SIDA","La Lettre de la Prevention, Ministere de la Sante et de la Population, Numero  83, decembre.","AIDS","17","0","-1.00","N/A","","","-1"
"145","AG","National","2005","Cumulative AIDS cases - mother-to-infant","O","B","ALL","F0183","Reported as of 31 Dec. 05.  Distribution by sex is given in text.","R","Algeria","Fares, E. G., Mokhtari, M. Gourari, et al.",2005,"Rapport Sur L'Enquete Nationale de Sero-Surveillance Sentinelle du VIH et de la Syphilis en Algerie en 2004","Ministere de la Sante de la Population et de la Reforme Hospitaliere, Direction de la Prevention, Algerie, decembre, report.","AIDS","16","0","-1.00","N/A","","","-1"
"147","AG","National","2005","Cumulative AIDS cases - unknown","O","B","ALL","F0183","Reported as of 31 Dec. 05.  Distribution by sex is given in text.","R","Algeria","Fares, E. G., Mokhtari, M. Gourari, et al.",2005,"Rapport Sur L'Enquete Nationale de Sero-Surveillance Sentinelle du VIH et de la Syphilis en Algerie en 2004","Ministere de la Sante de la Population et de la Reforme Hospitaliere, Direction de la Prevention, Algerie, decembre, report.","AIDS","186","0","-1.00","N/A","","","-1"
"183","AG","National","1985-2006","Cumulative AIDS cases - bld/bld products","B","F","ALL","A0529","Reported as of 31 Dec. 06.","R","Algeria","Algeria Ministere de la Sante, et al.",2008,"Rapport Sur l'Enquete de Sero-Surveillance Sentinelle du VIH et de la Syphilis en Algerie en 2007","Ministere de la Sante de la Population et de la Reforme Hospitaliere, Direction de la Prevention, janvier, report.","AIDS","22","0","-1.00","N/A","","","-1"
"4","AG","National","1988","AIDS cases","O","B","ALL","C0232","Calendar year data.","R","Algeria","Chakkar, Y.",1995,"Situation du Programme National de Lutte Contre le SIDA","La Lettre de la Prevention, Ministere de la Sante et de la Population, Numero  83, decembre.","AIDS","13","0","-1.00","N/A","","","-1"
"11","AG","National","1995","AIDS cases","O","B","ALL","C0232","Reported as of 30 Sept. 95.","R","Algeria","Chakkar, Y.",1995,"Situation du Programme National de Lutte Contre le SIDA","La Lettre de la Prevention, Ministere de la Sante et de la Population, Numero  83, decembre.","AIDS","27","0","-1.00","N/A","","","-1"
"189","AG","National","1985-2006","Cumulative AIDS cases - others","O","F","ALL","A0529","Reported as of 31 Dec. 06.","R","Algeria","Algeria Ministere de la Sante, et al.",2008,"Rapport Sur l'Enquete de Sero-Surveillance Sentinelle du VIH et de la Syphilis en Algerie en 2007","Ministere de la Sante de la Population et de la Reforme Hospitaliere, Direction de la Prevention, janvier, report.","AIDS","3","0","-1.00","N/A","","","-1"
