"type","region","district","ward","village","population","in shapefile"
"village","Dodoma","Kondoa","Kilimani","Kwantisi",2349,"n"
"village","Dodoma","Kondoa","Kilimani","Bicha",1857,"n"
"village","Dodoma","Kondoa","Kilimani","Kilimani",2058,"n"
"village","Dodoma","Kondoa","Kilimani","Damai",973,"n"
"ward","Dodoma","Kondoa","Chemchem","",7914,"y"
"village","Dodoma","Kondoa","Chemchem","Kwapakacha",1108,"n"
"village","Dodoma","Kondoa","Chemchem","Ubembeni",3617,"n"
"village","Dodoma","Kondoa","Chemchem","Iboni",2007,"n"
"village","Dodoma","Kondoa","Chemchem","Chemchem",1182,"n"
"ward","Dodoma","Kondoa","Hondomairo","",8114,"n"
"village","Dodoma","Kondoa","Hondomairo","Mwembeni",2609,"n"
"village","Dodoma","Kondoa","Hondomairo","Hondomairo",2361,"n"
"village","Dodoma","Kondoa","Hondomairo","Mtibyangwi",3144,"n"
"ward","Dodoma","Kondoa","Bolisa","",3644,"y"
"village","Dodoma","Kondoa","Bolisa","Itiso",1204,"n"
"village","Dodoma","Kondoa","Bolisa","Bolisa",1451,"n"
"village","Dodoma","Kondoa","Bolisa","Poisa",988,"n"
"ward","Dodoma","Kondoa","Kinyasi","",8816,"y"
"village","Dodoma","Kondoa","Kinyasi","Kinyasi Majengo",2248,"n"
"village","Dodoma","Kondoa","Kinyasi","Kinyasi Kati",3897,"n"
"village","Dodoma","Kondoa","Kinyasi","Ikengwa",1938,"n"
"village","Dodoma","Kondoa","Kinyasi","Isongolo",733,"n"
"ward","Dodoma","Kondoa","Salanka","",8632,"y"
"village","Dodoma","Kondoa","Salanka","Makafa",1833,"n"
"village","Dodoma","Kondoa","Salanka","Lembo",1031,"n"
"village","Dodoma","Kondoa","Salanka","Salanka",2710,"n"
"village","Dodoma","Kondoa","Salanka","Masawi",1972,"n"
"village","Dodoma","Kondoa","Salanka","Alagawa",1085,"n"
"ward","Dodoma","Kondoa","Itololo","",7196,"y"
"village","Dodoma","Kondoa","Itololo","Mangolo",1753,"n"
"village","Dodoma","Kondoa","Itololo","Kandaga",1701,"n"
"village","Dodoma","Kondoa","Itololo","Itololo",1093,"n"
"village","Dodoma","Kondoa","Itololo","Mkekena",1732,"n"
"village","Dodoma","Kondoa","Itololo","Machinjioni",918,"n"
"ward","Dodoma","Kondoa","Itaswi","",9774,"y"
"village","Dodoma","Kondoa","Itaswi","Itaswi",3703,"n"
"village","Dodoma","Kondoa","Itaswi","Haire",2072,"n"
"village","Dodoma","Kondoa","Itaswi","Kisaki",1311,"n"
"village","Dodoma","Kondoa","Itaswi","Chubi",2687,"n"
"ward","Dodoma","Kondoa","Suruke","",3545,"y"
"village","Dodoma","Kondoa","Suruke","Mlua",2400,"n"
"village","Dodoma","Kondoa","Suruke","Tungufu",1145,"n"
"ward","Dodoma","Kondoa","Kingale","",11003,"y"
"village","Dodoma","Kondoa","Kingale","Kingale",3139,"n"
"village","Dodoma","Kondoa","Kingale","Tampori",1012,"n"
"village","Dodoma","Kondoa","Kingale","Iyoli",2334,"n"
"village","Dodoma","Kondoa","Kingale","Chemchem",4517,"n"
"ward","Dodoma","Kondoa","Kondoa Mjini","",14382,"n"
"village","Dodoma","Kondoa","Kondoa Mjini","Mningani",5473,"n"
"village","Dodoma","Kondoa","Kondoa Mjini","Kichangani",2199,"n"
"village","Dodoma","Kondoa","Kondoa Mjini","Tura",1720,"n"
"village","Dodoma","Kondoa","Kondoa Mjini","Mnarani",4990,"n"
"ward","Dodoma","Kondoa","Kolo","",5243,"y"
"village","Dodoma","Kondoa","Kolo","Kolo",2470,"n"
"village","Dodoma","Kondoa","Kolo","Choka",1284,"n"
"village","Dodoma","Kondoa","Kolo","Hachwi",1489,"n"
"ward","Dodoma","Kondoa","Changaa","",9634,"y"
"village","Dodoma","Kondoa","Changaa","Kwamafunchi",1838,"n"
"village","Dodoma","Kondoa","Changaa","Changaa",3109,"n"
"village","Dodoma","Kondoa","Changaa","Tumbelo",2826,"n"
"village","Dodoma","Kondoa","Changaa","Chololo",1862,"n"
"ward","Dodoma","Kondoa","Thawi","",10799,"y"
"village","Dodoma","Kondoa","Thawi","Sakami",4784,"n"
"village","Dodoma","Kondoa","Thawi","Thawi Madukani",4555,"n"
"village","Dodoma","Kondoa","Thawi","Thawi Juu",1459,"n"
"ward","Dodoma","Kondoa","Mnenia","",11528,"y"
"village","Dodoma","Kondoa","Mnenia","Mnenia",3328,"n"
"village","Dodoma","Kondoa","Mnenia","Itundwi",3371,"n"
"village","Dodoma","Kondoa","Mnenia","Filimo",1590,"n"
"village","Dodoma","Kondoa","Mnenia","Bambare",3239,"n"
"ward","Dodoma","Kondoa","Soera","",7616,"y"
"village","Dodoma","Kondoa","Soera","Soera",1555,"n"
"village","Dodoma","Kondoa","Soera","Bukulu",3667,"n"
"village","Dodoma","Kondoa","Soera","Humai",1163,"n"
"village","Dodoma","Kondoa","Soera","Kwadinu",1231,"n"
"district","Dodoma","Mpwapwa","","",305056,"n"
"ward","Dodoma","Mpwapwa","Mazae","",8021,"y"
"village","Dodoma","Mpwapwa","Mazae","Mazae",2812,"n"
"village","Dodoma","Mpwapwa","Mazae","Kisokwe",3525,"n"
"village","Dodoma","Mpwapwa","Mazae","Idilo",1684,"n"
"ward","Dodoma","Mpwapwa","Ving'hawe","",12277,"n"
"village","Dodoma","Mpwapwa","Ving'hawe","Ving'hawe",6378,"n"
"village","Dodoma","Mpwapwa","Ving'hawe","Manghangu",2169,"n"
"village","Dodoma","Mpwapwa","Ving'hawe","Isinghu",3731,"n"
"ward","Dodoma","Mpwapwa","Matomondo","",17131,"y"
"village","Dodoma","Mpwapwa","Matomondo","Mbori",4237,"n"
"village","Dodoma","Mpwapwa","Matomondo","Tambi",4811,"n"
"village","Dodoma","Mpwapwa","Matomondo","Miembule",4158,"n"
"village","Dodoma","Mpwapwa","Matomondo","Mwenzere",3925,"n"
"ward","Dodoma","Mpwapwa","Kimagai","",7340,"y"
"village","Dodoma","Mpwapwa","Kimagai","Inzomvu",3857,"n"
"village","Dodoma","Mpwapwa","Kimagai","Kimagai",3483,"n"
"ward","Dodoma","Mpwapwa","Kibakwe","",16705,"y"
"village","Dodoma","Mpwapwa","Kibakwe","Iyenge",6562,"n"
"village","Dodoma","Mpwapwa","Kibakwe","Kibakwe",7056,"n"
"village","Dodoma","Mpwapwa","Kibakwe","Chamtumile",3087,"n"
"ward","Dodoma","Mpwapwa","Lumuma","",3783,"y"
"village","Dodoma","Mpwapwa","Lumuma","Lufusi",853,"n"
"village","Dodoma","Mpwapwa","Lumuma","Kitati",1009,"n"
"village","Dodoma","Mpwapwa","Lumuma","Mafene",1922,"n"
"ward","Dodoma","Mpwapwa","Luhundwa","",12161,"y"
"village","Dodoma","Mpwapwa","Luhundwa","Ikuyu",4805,"n"
"village","Dodoma","Mpwapwa","Luhundwa","Luhundwa",3393,"n"
"village","Dodoma","Mpwapwa","Luhundwa","Kidenge",3963,"n"
"ward","Dodoma","Mpwapwa","Massa","",12561,"y"
"village","Dodoma","Mpwapwa","Massa","Makose",3456,"n"
"village","Dodoma","Mpwapwa","Massa","Chogola",3813,"n"
"village","Dodoma","Mpwapwa","Massa","Winza",4492,"n"
"village","Dodoma","Mpwapwa","Massa","Njia panda",800,"n"
"ward","Dodoma","Mpwapwa","Ipera","",12870,"y"
"village","Dodoma","Mpwapwa","Ipera","Kinusi",4842,"n"
"village","Dodoma","Mpwapwa","Ipera","Mang'aliza",5176,"n"
"village","Dodoma","Mpwapwa","Ipera","Kikuyu",2852,"n"
"ward","Dodoma","Mpwapwa","Rudi","",10029,"y"
"village","Dodoma","Mpwapwa","Rudi","Chilendu",4542,"n"
"village","Dodoma","Mpwapwa","Rudi","Singonhali",1884,"n"
"village","Dodoma","Mpwapwa","Rudi","Mtamba",3603,"n"
"ward","Dodoma","Mpwapwa","Mlunduzi","",9668,"y"
"village","Dodoma","Mpwapwa","Mlunduzi","Chinyika",4737,"n"
"village","Dodoma","Mpwapwa","Mlunduzi","Chinyanghuku",2827,"n"
"village","Dodoma","Mpwapwa","Mlunduzi","Wiyenzele",2104,"n"
"ward","Dodoma","Mpwapwa","Wotta","",13340,"y"
"village","Dodoma","Mpwapwa","Wotta","Mlunga",2553,"n"
"village","Dodoma","Mpwapwa","Wotta","Mwanawotta",4030,"n"
"village","Dodoma","Mpwapwa","Wotta","Lwihomelo",2516,"n"
"village","Dodoma","Mpwapwa","Wotta","Wangi",2925,"n"
"village","Dodoma","Mpwapwa","Wotta","Kidabaga",1316,"n"
"ward","Dodoma","Mpwapwa","Mima","",14435,"y"
"village","Dodoma","Mpwapwa","Mima","Mima",4822,"n"
"village","Dodoma","Mpwapwa","Mima","Sazima",3701,"n"
"village","Dodoma","Mpwapwa","Mima","Igoji",3415,"n"
"village","Dodoma","Mpwapwa","Mima","Chamanda",2497,"n"
"ward","Dodoma","Mpwapwa","Berege","",10931,"y"
"village","Dodoma","Mpwapwa","Berege","Berege",5731,"n"
"village","Dodoma","Mpwapwa","Berege","Mzase",2861,"n"
"village","Dodoma","Mpwapwa","Berege","Mkanana",2339,"n"
"ward","Dodoma","Mpwapwa","Chunyu","",11593,"y"
"village","Dodoma","Mpwapwa","Chunyu","Chunyu",3912,"n"
"village","Dodoma","Mpwapwa","Chunyu","Msagali",7681,"n"
"ward","Dodoma","Mpwapwa","Mbuga","",5813,"y"
"village","Dodoma","Mpwapwa","Mbuga","Kizi",1154,"n"
"village","Dodoma","Mpwapwa","Mbuga","Mbuga",3316,"n"
"village","Dodoma","Mpwapwa","Mbuga","Iguluwi",1344,"n"
"ward","Dodoma","Mpwapwa","Godegode","",7884,"y"
"village","Dodoma","Mpwapwa","Godegode","Godegode",3229,"n"
"village","Dodoma","Mpwapwa","Godegode","Kisisi",1776,"n"
"village","Dodoma","Mpwapwa","Godegode","Mgoma",1634,"n"
"village","Dodoma","Mpwapwa","Godegode","Mzogole",1245,"n"
"ward","Dodoma","Mpwapwa","Mpwapwa Mjini","",21337,"n"
"village","Dodoma","Mpwapwa","Mpwapwa Mjini","Ilolo",3744,"n"
"village","Dodoma","Mpwapwa","Mpwapwa Mjini","Kiboriani",2202,"n"
"village","Dodoma","Mpwapwa","Mpwapwa Mjini","Mpwapwa Mjini",6100,"n"
"village","Dodoma","Mpwapwa","Mpwapwa Mjini","Igovu",6879,"n"
"village","Dodoma","Mpwapwa","Mpwapwa Mjini","Mwanakianga",2411,"n"
"ward","Dodoma","Mpwapwa","Lupeta","",8477,"y"
"village","Dodoma","Mpwapwa","Lupeta","Lupeta",3770,"n"
"village","Dodoma","Mpwapwa","Lupeta","Bumila",2675,"n"
"village","Dodoma","Mpwapwa","Lupeta","Makutupa",2032,"n"
"ward","Dodoma","Mpwapwa","Gulwe","",10385,"y"
"village","Dodoma","Mpwapwa","Gulwe","Iyoma",2574,"n"
"village","Dodoma","Mpwapwa","Gulwe","Gulwe",4939,"n"
"village","Dodoma","Mpwapwa","Gulwe","Chiseyu",2872,"n"
"ward","Dodoma","Mpwapwa","Nghambi","",8377,"y"
"village","Dodoma","Mpwapwa","Nghambi","Kiegea",680,"n"
"village","Dodoma","Mpwapwa","Nghambi","Nghambi",5498,"n"
"village","Dodoma","Mpwapwa","Nghambi","Kazania",2199,"n"
"ward","Dodoma","Mpwapwa","Chitemo","",7782,"y"
"village","Dodoma","Mpwapwa","Chitemo","Chibwegele",2018,"n"
"village","Dodoma","Mpwapwa","Chitemo","Chitemo",5764,"n"
"ward","Dodoma","Mpwapwa","Iwondo","",7700,"y"
"village","Dodoma","Mpwapwa","Iwondo","Igoji  II",3586,"n"
"village","Dodoma","Mpwapwa","Iwondo","Iwondo",4114,"n"
"ward","Dodoma","Mpwapwa","Kingiti","",7024,"y"
"village","Dodoma","Mpwapwa","Kingiti","Lukole",4523,"n"
"village","Dodoma","Mpwapwa","Kingiti","Kingiti",2501,"n"
"ward","Dodoma","Mpwapwa","Lufu","",4937,"y"
"village","Dodoma","Mpwapwa","Lufu","Lufu",3183,"n"
"village","Dodoma","Mpwapwa","Lufu","Gomhungile",641,"n"
"village","Dodoma","Mpwapwa","Lufu","Mlimo",1114,"n"
"ward","Dodoma","Mpwapwa","Pwaga","",11217,"y"
"village","Dodoma","Mpwapwa","Pwaga","Pwaga",6697,"n"
"village","Dodoma","Mpwapwa","Pwaga","Idaho",1649,"n"
"village","Dodoma","Mpwapwa","Pwaga","Minguwi",2871,"n"
"ward","Dodoma","Mpwapwa","Galigali","",4356,"y"
"village","Dodoma","Mpwapwa","Galigali","Matonya",1923,"n"
"village","Dodoma","Mpwapwa","Galigali","Galigali",2433,"n"
"ward","Dodoma","Mpwapwa","Mtera","",10934,"y"
"village","Dodoma","Mpwapwa","Mtera","Kisima",4597,"n"
"village","Dodoma","Mpwapwa","Mtera","Mtera",4720,"n"
"village","Dodoma","Mpwapwa","Mtera","Kisimani",1617,"n"
"ward","Dodoma","Mpwapwa","Chipogoro","",10682,"y"
"village","Dodoma","Mpwapwa","Chipogoro","Chipogoro",5438,"n"
"village","Dodoma","Mpwapwa","Chipogoro","Seluka",2951,"n"
"village","Dodoma","Mpwapwa","Chipogoro","Chaludewa",2293,"n"
"ward","Dodoma","Mpwapwa","Malolo","",5306,"y"
"village","Dodoma","Mpwapwa","Malolo","Nzugilo",1918,"n"
"village","Dodoma","Mpwapwa","Malolo","Malolo",1888,"n"
"village","Dodoma","Mpwapwa","Malolo","Idodoma",1500,"n"
"district","Dodoma","Kongwa","","",309973,"n"
"ward","Dodoma","Kongwa","Kongwa","",13531,"y"
"village","Dodoma","Kongwa","Kongwa","Kongwa",4981,"n"
"village","Dodoma","Kongwa","Kongwa","Mnyakongo",4788,"n"
"village","Dodoma","Kongwa","Kongwa","Mlanga",3763,"n"
"ward","Dodoma","Kongwa","Sejeli","",19097,"y"
"village","Dodoma","Kongwa","Sejeli","Msunjilile",5362,"n"
"village","Dodoma","Kongwa","Sejeli","Sejeli",3154,"n"
"village","Dodoma","Kongwa","Sejeli","Mbande",5788,"n"
"village","Dodoma","Kongwa","Sejeli","Vilundilo",2040,"n"
"village","Dodoma","Kongwa","Sejeli","Manungu",2753,"n"
"ward","Dodoma","Kongwa","Hogoro","",17129,"y"
"village","Dodoma","Kongwa","Hogoro","Nyerere",2079,"n"
"village","Dodoma","Kongwa","Hogoro","Banyibanyi",4705,"n"
"village","Dodoma","Kongwa","Hogoro","Hogoro",4270,"n"
"village","Dodoma","Kongwa","Hogoro","Chamae",3737,"n"
"village","Dodoma","Kongwa","Hogoro","Mkutani",2338,"n"
"ward","Dodoma","Kongwa","Zoissa","",6105,"y"
"village","Dodoma","Kongwa","Zoissa","Pingalame",3306,"n"
"village","Dodoma","Kongwa","Zoissa","Zoissa",1191,"n"
"village","Dodoma","Kongwa","Zoissa","Kinangali",1609,"n"
"ward","Dodoma","Kongwa","Mkoka","",11925,"y"
"village","Dodoma","Kongwa","Mkoka","Mkoka",9011,"n"
"village","Dodoma","Kongwa","Mkoka","Mnuku",1814,"n"
"village","Dodoma","Kongwa","Mkoka","Mvungurumo",1100,"n"
"ward","Dodoma","Kongwa","Njoge","",10063,"y"
"village","Dodoma","Kongwa","Njoge","Makutupa",935,"n"
"village","Dodoma","Kongwa","Njoge","Njoge",5327,"n"
"village","Dodoma","Kongwa","Njoge","Hembahemba",3800,"n"
"ward","Dodoma","Kongwa","Mtanana","",12559,"y"
"village","Dodoma","Kongwa","Mtanana","Chigwingwili",2836,"n"
"village","Dodoma","Kongwa","Mtanana","Ndalibo",2314,"n"
"village","Dodoma","Kongwa","Mtanana","Mtanana 'A'",2817,"n"
"village","Dodoma","Kongwa","Mtanana","Mtanana 'B'",3487,"n"
"village","Dodoma","Kongwa","Mtanana","Soiti",1104,"n"
"ward","Dodoma","Kongwa","Pandambili","",8004,"y"
"village","Dodoma","Kongwa","Pandambili","Pandambili",8004,"n"
"ward","Dodoma","Kongwa","Mlali","",19623,"y"
"village","Dodoma","Kongwa","Mlali","Mlali Iyegu",8924,"n"
"village","Dodoma","Kongwa","Mlali","Ihanda",3518,"n"
"village","Dodoma","Kongwa","Mlali","Mlali Bondeni",7181,"n"
"ward","Dodoma","Kongwa","Iduo","",11197,"y"
"village","Dodoma","Kongwa","Iduo","Iduo",3556,"n"
"village","Dodoma","Kongwa","Iduo","Chang'ombe",2885,"n"
"village","Dodoma","Kongwa","Iduo","Masinyeti",2599,"n"
"village","Dodoma","Kongwa","Iduo","Suguta",2157,"n"
"ward","Dodoma","Kongwa","Sagara","",22066,"y"
"village","Dodoma","Kongwa","Sagara","Sagara 'B'",4872,"n"
"village","Dodoma","Kongwa","Sagara","Msingisa",4537,"n"
"village","Dodoma","Kongwa","Sagara","Laikala",4845,"n"
"village","Dodoma","Kongwa","Sagara","Ijaka",3380,"n"
"village","Dodoma","Kongwa","Sagara","Sagara 'A'",4433,"n"
"ward","Dodoma","Kongwa","Kibaigwa","",24761,"y"
"village","Dodoma","Kongwa","Kibaigwa","Kinangali",2320,"n"
"village","Dodoma","Kongwa","Kibaigwa","Ndurugumi",4906,"n"
"village","Dodoma","Kongwa","Kibaigwa","Kibaigwa",17535,"n"
"ward","Dodoma","Kongwa","Ugogoni","",17048,"y"
"village","Dodoma","Kongwa","Ugogoni","Chimotolo",2423,"n"
"village","Dodoma","Kongwa","Ugogoni","Machenje",3444,"n"
"village","Dodoma","Kongwa","Ugogoni","Mautya",5142,"n"
"village","Dodoma","Kongwa","Ugogoni","Ibwaga",3477,"n"
"village","Dodoma","Kongwa","Ugogoni","Nguji",1614,"n"
"village","Dodoma","Kongwa","Ugogoni","Ugogoni",947,"n"
"ward","Dodoma","Kongwa","Chamkoroma","",14675,"y"
"village","Dodoma","Kongwa","Chamkoroma","Chamkoroma",2421,"n"
"village","Dodoma","Kongwa","Chamkoroma","Mseta bondeni",756,"n"
"village","Dodoma","Kongwa","Chamkoroma","Mseta",2247,"n"
"village","Dodoma","Kongwa","Chamkoroma","Manghweta",1765,"n"
"village","Dodoma","Kongwa","Chamkoroma","Tubugwe kibaoni",3049,"n"
"village","Dodoma","Kongwa","Chamkoroma","Tubugwe juu",2280,"n"
"village","Dodoma","Kongwa","Chamkoroma","Makole",2158,"n"
"ward","Dodoma","Kongwa","Makawa","",8622,"y"
"village","Dodoma","Kongwa","Makawa","Makawa",3451,"n"
"village","Dodoma","Kongwa","Makawa","Muungano",2246,"n"
"village","Dodoma","Kongwa","Makawa","Mageseni",2329,"n"
"village","Dodoma","Kongwa","Makawa","Silale",596,"n"
"ward","Dodoma","Kongwa","Chitego","",9799,"y"
"village","Dodoma","Kongwa","Chitego","Chitego",5388,"n"
"village","Dodoma","Kongwa","Chitego","Leganga",1757,"n"
"village","Dodoma","Kongwa","Chitego","Ngutoto",2654,"n"
"ward","Dodoma","Kongwa","Matongoro","",10095,"y"
"village","Dodoma","Kongwa","Matongoro","Matongoro",3346,"n"
"village","Dodoma","Kongwa","Matongoro","Mlanje",2429,"n"
"village","Dodoma","Kongwa","Matongoro","Norini",4320,"n"
"ward","Dodoma","Kongwa","Ngomai","",10534,"y"
"village","Dodoma","Kongwa","Ngomai","Chilanjilizi",1354,"n"
"village","Dodoma","Kongwa","Ngomai","Ngomai",6448,"n"
"village","Dodoma","Kongwa","Ngomai","Manyata",2732,"n"
"ward","Dodoma","Kongwa","Songambele","",17712,"y"
"village","Dodoma","Kongwa","Songambele","Songambele A",6316,"n"
"village","Dodoma","Kongwa","Songambele","Songambele B",6075,"n"
"village","Dodoma","Kongwa","Songambele","Muungano",1926,"n"
"village","Dodoma","Kongwa","Songambele","Masena",1476,"n"
"village","Dodoma","Kongwa","Songambele","Mtunguchole",1918,"n"
"ward","Dodoma","Kongwa","Chiwe","",19479,"y"
"village","Dodoma","Kongwa","Chiwe","Moleti",6454,"n"
"village","Dodoma","Kongwa","Chiwe","Chiwe",7538,"n"
"village","Dodoma","Kongwa","Chiwe","Vihingo",3431,"n"
"village","Dodoma","Kongwa","Chiwe","Lengaji",2056,"n"
"ward","Dodoma","Kongwa","Lenjulu","",14440,"y"
"village","Dodoma","Kongwa","Lenjulu","Lobilo",3644,"n"
"village","Dodoma","Kongwa","Lenjulu","Lenjulu",4535,"n"
"village","Dodoma","Kongwa","Lenjulu","Kiteto",2443,"n"
"village","Dodoma","Kongwa","Lenjulu","Majawanga",3817,"n"
"ward","Dodoma","Kongwa","Nghumbi","",11509,"y"
"village","Dodoma","Kongwa","Nghumbi","Pembamoto",3502,"n"
"village","Dodoma","Kongwa","Nghumbi","Nghumbi",3748,"n"
"village","Dodoma","Kongwa","Nghumbi","Iyumbi",2112,"n"
"village","Dodoma","Kongwa","Nghumbi","Mbagilwa",2147,"n"
"district","Dodoma","Chamwino","","",330543,"n"
"ward","Dodoma","Chamwino","Haneti","",13128,"y"
"village","Dodoma","Chamwino","Haneti","Haneti",3959,"n"
"village","Dodoma","Chamwino","Haneti","Kwahemu",4069,"n"
"village","Dodoma","Chamwino","Haneti","Chenene",3776,"n"
"village","Dodoma","Chamwino","Haneti","Humekwa",1324,"n"
"ward","Dodoma","Chamwino","Segala","",12791,"y"
"village","Dodoma","Chamwino","Segala","Segala",4921,"n"
"village","Dodoma","Chamwino","Segala","Izava",6903,"n"
"village","Dodoma","Chamwino","Segala","Kimeji",966,"n"
"ward","Dodoma","Chamwino","Itiso","",12636,"y"
"village","Dodoma","Chamwino","Itiso","Itiso",10254,"n"
"village","Dodoma","Chamwino","Itiso","Solowu",2382,"n"
"ward","Dodoma","Chamwino","Dabalo","",16115,"y"
"village","Dodoma","Chamwino","Dabalo","Dabalo",7730,"n"
"village","Dodoma","Chamwino","Dabalo","Manyemba",3019,"n"
"village","Dodoma","Chamwino","Dabalo","Chiwondo",2456,"n"
"village","Dodoma","Chamwino","Dabalo","Igamba",2910,"n"
"ward","Dodoma","Chamwino","Membe","",8726,"y"
"village","Dodoma","Chamwino","Membe","Membe",5236,"n"
"village","Dodoma","Chamwino","Membe","Mlimwa",3490,"n"
"ward","Dodoma","Chamwino","Msanga","",9663,"y"
"village","Dodoma","Chamwino","Msanga","Msanga",5026,"n"
"village","Dodoma","Chamwino","Msanga","Kawawa",4637,"n"
"ward","Dodoma","Chamwino","Chilonwa","",7907,"y"
"village","Dodoma","Chamwino","Chilonwa","Mahamha",4008,"n"
"village","Dodoma","Chamwino","Chilonwa","Nzali",3899,"n"
"ward","Dodoma","Chamwino","Buigiri","",16821,"y"
"village","Dodoma","Chamwino","Buigiri","Chamwino Ikulu",8518,"n"
"village","Dodoma","Chamwino","Buigiri","Buigiri",4915,"n"
"village","Dodoma","Chamwino","Buigiri","Chinangali II",3387,"n"
"ward","Dodoma","Chamwino","Majeleko","",6886,"y"
"village","Dodoma","Chamwino","Majeleko","Majeleko",3941,"n"
"village","Dodoma","Chamwino","Majeleko","Chinangali I",2945,"n"
"ward","Dodoma","Chamwino","Manchali","",10485,"y"
"village","Dodoma","Chamwino","Manchali","Manchali B",2463,"n"
"village","Dodoma","Chamwino","Manchali","Chalinze",3564,"n"
"village","Dodoma","Chamwino","Manchali","Wilunze",2370,"n"
"village","Dodoma","Chamwino","Manchali","Manchali A",2088,"n"
"ward","Dodoma","Chamwino","Ikowa","",6325,"y"
"village","Dodoma","Chamwino","Ikowa","Ikowa",3338,"n"
"village","Dodoma","Chamwino","Ikowa","Makoja",2987,"n"
"ward","Dodoma","Chamwino","Msamalo","",14142,"y"
"village","Dodoma","Chamwino","Msamalo","Mgunda",6991,"n"
"village","Dodoma","Chamwino","Msamalo","Mnase",4233,"n"
"village","Dodoma","Chamwino","Msamalo","Mlebe",2918,"n"
"ward","Dodoma","Chamwino","Igandu","",14880,"y"
"village","Dodoma","Chamwino","Igandu","Igandu",6598,"n"
